ID,Nombre,Nombre científico,Categoría,Agua,Región/Zona,Hábitat,Método,Cebo/Señuelo,Franja horaria,Temporada,Dificultad (1-10),Exclusividad,Peso mín (kg),Peso máx (kg),Precio venta (monedas),XP base,Notas
50,Grayling europeo,Thymallus thymallus,Pez,Dulce,Alpes,"Río claro, Arroyo",Mosca,"Ninfa, Mosca seca pequeña",Día,Verano,4,Poco común,0.3,2.0,10,84,Aletas vistosas; delicado a la manipulación.
2,Trucha arcoíris,Oncorhynchus mykiss,Pez,Dulce,Alpes,"Río de montaña, Lago frío","Mosca, Spinning ligero","Mosca seca, Cucharilla #1",Día/Amanecer,Primavera-Otoño,4,Poco común,0.5,5.0,25,84,Muy sensible a la temperatura; agua clara y fría.
41,Arapaima (pirarucú),Arapaima gigas,Pez,Dulce,Amazonas,"Laguna, Varzea","Señuelo grande, Cebo natural","Jerkbait pesado, Tilapia",Mañana/Tarde,Estiaje (seca),9,Legendario,30.0,200.0,5605,675,Requiere permisos; salto poderoso y respiración aérea.
42,Arowana plateada,Osteoglossum bicirrhosum,Pez,Dulce,Amazonas,Orilla con vegetación,"Spinning superficie, Mosca","Minnow superficial, Popper",Tarde/Noche,Lluvias,6,Raro,1.0,5.0,40,180,Salta para capturar presas; línea tensa constante.
43,Piraña de vientre rojo,Pygocentrus nattereri,Pez,Dulce,Amazonas/Orinoco,"Laguna, Río lento",Fondo/Flotador,"Carne, trozos de pescado",Día,Lluvias,3,Común,0.3,2.0,5,45,Cortes rápidos; usar bajos de acero.
40,Tucunaré (peacock bass),Cichla ocellaris,Pez,Dulce,Amazonas/Orinoco,"Laguna amazónica, Río lento","Spinning, Topwater","Poppers grandes, Jig",Amanecer/Atardecer,Seca (bajas aguas),7,Raro,1.0,10.0,75,210,Explosiones en superficie; pesca visual.
25,Carpa común,Cyprinus carpio,Pez,Dulce,Asia,"Lago, Canal, Río lento",Fondo con cebado,"Boilies, Maíz",Día/Noche,Todo el año,4,Común,1.0,20.0,65,60,Gran fuerza por kilo; responde al cebado continuo.
37,Carpa herbívora (amur),Ctenopharyngodon idella,Pez,Dulce,Asia,"Embalse, Lago",Fondo/Flotador,"Vegetales, boilies dulces",Día,Primavera-Verano,5,Poco común,2.0,20.0,95,105,Gran poder de arranque; muy desconfiada.
39,Dorado (salminus),Salminus brasiliensis,Pez,Dulce,Bolivia,Río rápido,"Spinning pesado, Mosca grande","Streamer grande, Señuelo de paleta",Amanecer/Atardecer,Invierno-Primavera,7,Raro,2.0,10.0,85,210,Dentadura fuerte; líder de acero recomendado.
54,Paddlefish (pez espátula),Polyodon spathula,Pez,Dulce,Cuenca del Mississippi,Río grande,Snagging (regulado),—,Día,Primavera,7,Raro,5.0,40.0,310,210,Filtrador; normativa específica por estado.
29,Siluro europeo (wels),Silurus glanis,Pez,Dulce,Danubio,"Gran río, Embalse profundo","Spinning pesado, Pellets al fondo","Señuelos XXL, Calamar",Noche,Verano-Otoño,8,Épico,5.0,80.0,1195,360,Gigante nocturno; usar equipo muy robusto.
26,Carpa común,Cyprinus carpio,Pez,Dulce,EE.UU. (introducida),"Lago, Canal, Río lento",Fondo con cebado,"Boilies, Maíz",Día/Noche,Todo el año,4,Común,1.0,20.0,65,60,Gran fuerza por kilo; responde al cebado continuo.
20,Black bass (largemouth),Micropterus salmoides,Pez,Dulce,EE.UU. Sur,"Embalse, Lago con cobertura","Spinning, Topwater","Spinnerbait, Popper, Texas rig",Amanecer/Atardecer,Primavera-Otoño,5,Poco común,0.5,6.0,30,105,"Reacciona a coberturas, estructuras y sombras."
49,Grayling europeo,Thymallus thymallus,Pez,Dulce,Escandinavia,"Río claro, Arroyo",Mosca,"Ninfa, Mosca seca pequeña",Día,Verano,4,Poco común,0.3,2.0,10,84,Aletas vistosas; delicado a la manipulación.
11,Lucio (northern pike),Esox lucius,Pez,Dulce,Escandinavia,"Lago con juncos, Río lento","Spinning, Jerking","Spinnerbait, Jerkbait",Día/Nublado,Primavera-Otoño,6,Poco común,1.0,15.0,75,125,"Emboscador, picos de actividad con viento y nubes."
24,Carpa común,Cyprinus carpio,Pez,Dulce,Europa,"Lago, Canal, Río lento",Fondo con cebado,"Boilies, Maíz",Día/Noche,Todo el año,4,Común,1.0,20.0,65,60,Gran fuerza por kilo; responde al cebado continuo.
36,Carpa herbívora (amur),Ctenopharyngodon idella,Pez,Dulce,Europa,"Embalse, Lago",Fondo/Flotador,"Vegetales, boilies dulces",Día,Primavera-Verano,5,Poco común,2.0,20.0,95,105,Gran poder de arranque; muy desconfiada.
35,Tenca,Tinca tinca,Pez,Dulce,Europa,"Lago con vegetación, Canal",Fondo fino,"Lombriz, Maíz",Mañana/Tarde,Verano,2,Común,0.3,3.0,10,30,Gustos discretos; picadas sutiles.
12,Lucio (northern pike),Esox lucius,Pez,Dulce,Europa Central,"Lago con juncos, Río lento","Spinning, Jerking","Spinnerbait, Jerkbait",Día/Nublado,Primavera-Otoño,6,Poco común,1.0,15.0,75,125,"Emboscador, picos de actividad con viento y nubes."
19,Perca europea,Perca fluviatilis,Pez,Dulce,Europa Central,"Lago, Río",Spinning ultraligero,"Cucharilla #0-1, Gusano blando",Día,Todo el año,2,Común,0.2,2.0,5,30,Excelente para empezar; forma bancos numerosos.
18,Perca europea,Perca fluviatilis,Pez,Dulce,Europa Norte,"Lago, Río",Spinning ultraligero,"Cucharilla #0-1, Gusano blando",Día,Todo el año,2,Común,0.2,2.0,5,30,Excelente para empezar; forma bancos numerosos.
4,Trucha común (marrón),Salmo trutta,Pez,Dulce,Europa Occidental,"Río, Arroyo, Lago","Mosca, Spinning ligero","Streamer, Minnow pequeño",Amanecer/Atardecer,Primavera-Otoño,5,Poco común,0.6,8.0,40,105,"Cauta; se camufla bien, requiere presentación fina."
